page_name,page_component_type,page_section_number,order_number,content,language
Home/Python/Python Core/File IO,h3,1,1,File modes,
Home/Python/Python Core/File IO,code,1,2,"# open a file and return a corresponding file object\nf = open(\n    \""filename\"",\n    mode=\'r\',   # we specify file open mode here\n    buffering=-1,\n    encoding=None,\n    errors=None,\n    newline=None,\n    closefd=True,\n    opener=None\n)",python
Home/Python/Python Core/File IO,paragraph,1,3,"Character   Meaning\n---------   ------------\n  \'r\'       open for reading (DEFAULT)\n  \'w\'       open for writing, truncating the file first\n  \'x\'       open for exclusive creation, failing if the file already exists\n  \'a\'       open for writing, appending to the end of the file if it exists\n  \'b\'       binary mode\n  \'t\'       text mode (DEFAULT)\n  \'+\'       open a disk file for updating (reading and writing)\n\nWe must have exactly one of create/read/write/append mode and at most one plus.\n\nThe mode \'w+\' opens and trancates the file to 0 bytes.\nThe modes \'r+\' and \'a+\' open the file without trancation.",
Home/Python/Python Core/File IO,h3,2,1,Open a file (in different modes),
Home/Python/Python Core/File IO,code,2,2,"# open a file for reading in a text mode\nopen(\'temp.txt\')\nopen(\'temp.txt\', \'r\')\nopen(\'temp.txt\', \'rt\')\nopen(\'temp.txt\', \'rt\', encoding=\'utf-8\')",python
Home/Python/Python Core/File IO,code,2,3,"# open a file for writing in a text or binary mode\nopen(\'temp.txt\', \'w\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'wt\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'wb\')",python
Home/Python/Python Core/File IO,code,2,4,"# open a file for writing (appending to the end)\n# in a text or binary mode\nopen(\'temp.txt\', \'a\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'at\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'ab\')",python
Home/Python/Python Core/File IO,code,2,5,"# open a file for updating (reading and writing)\n# in a text or binary mode\nopen(\'temp.txt\', \'r+\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'w+\', encoding=\'utf-8\')  # will first truncate the file\nopen(\'temp.txt\', \'a+\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'r+t\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'w+t\', encoding=\'utf-8\')  # will first truncate the file\nopen(\'temp.txt\', \'a+t\', encoding=\'utf-8\')\nopen(\'temp.txt\', \'r+b\')\nopen(\'temp.txt\', \'w+b\')  # will first truncate the file\nopen(\'temp.txt\', \'a+b\')",python
Home/Python/Python Core/File IO,h3,3,1,Close a file,
Home/Python/Python Core/File IO,code,3,2,"f = open(\'temp.txt\', \'rt\', encoding=\'utf-8\')\ntry:\n    print(f.read())\nfinally:\n    f.close()",python
Home/Python/Python Core/File IO,h3,4,1,Open and close a file with a context manager,
Home/Python/Python Core/File IO,code,4,2,"with open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.read())",python
Home/Python/Python Core/File IO,h3,5,1,Reading from a file,
Home/Python/Python Core/File IO,code,5,10,"# read the contents of a file as a list of lines\n# (no more lines will be read if the total size in bytes or characters of\n# all lines so far exceeds 3)\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.readlines(3))",python
Home/Python/Python Core/File IO,h5,5,2,read(),
Home/Python/Python Core/File IO,code,5,3,"# read all contents of a file\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.read())",python
Home/Python/Python Core/File IO,code,5,4,"# at most read the specified number of characters or bytes\n# (depending on the mode) from a file\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.read(5))",python
Home/Python/Python Core/File IO,h5,5,5,readline(),
Home/Python/Python Core/File IO,code,5,6,"# read one line from a file\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.readline())",python
Home/Python/Python Core/File IO,code,5,7,"# at most read the specified number of characters or bytes\n# (depending on the mode) from a line of a file\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.readline(5))",python
Home/Python/Python Core/File IO,h5,5,8,readlines(),
Home/Python/Python Core/File IO,code,5,9,"# read the contents of a file as a list of lines\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    print(f.readlines())",python
Home/Python/Python Core/File IO,h3,6,1,seek(),
Home/Python/Python Core/File IO,code,6,2,"# seek() will change the stream position to the given byte offset\n# (here the contents of a file will be read 3 times)\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    for _ in range(3):\n        print(f.read())\n        f.seek(0)",python
Home/Python/Python Core/File IO,h3,7,1,tell(),
Home/Python/Python Core/File IO,code,7,2,"# tell() will return the current stream position\n# (here the second line of a file will be read 3 times)\nwith open(\'temp.txt\', \'rt\', encoding=\'utf-8\') as f:\n    f.readline()\n    line_2 = f.tell()\n    for _ in range(3):\n        f.seek(line_2)\n        print(f.readline())",python
Home/Python/Python Core/File IO,h3,8,1,Writing to a file,
Home/Python/Python Core/File IO,h5,8,2,write(),
Home/Python/Python Core/File IO,code,8,3,"# write a string to a file\nwith open(\'temp.txt\', \'wt\', encoding=\'utf-8\') as f:\n    chars_num = f.write(\""aaa\\nbbb\\n\"")\n    print(chars_num)",python
Home/Python/Python Core/File IO,code,8,4,"# write bytes to a file\nwith open(\'temp.txt\', \'wb\') as f:\n    bytes_num = f.write(\""aaa\\n\u044f\u044f\u044f\\n\"".encode(encoding=\'utf-8\'))\n    print(bytes_num)",python
Home/Python/Python Core/File IO,h5,8,5,writelines(),
Home/Python/Python Core/File IO,paragraph,8,6,The writelines() method writes the sequence of lines to a file.\nNo line endings are appended to each sequence item.\nIt\u2019s up to you to add the appropriate line ending(s).,
Home/Python/Python Core/File IO,code,8,7,"# write a sequence of lines to a file\nwith open(\'temp.txt\', \'wt\', encoding=\'utf-8\') as f:\n    lines = [\'aaa\\n\', \'bbb\\n\']\n    f.writelines(lines)",python
Home/Python/Python Core/File IO,code,8,8,"# write bytes to a file\nwith open(\'temp.txt\', \'wb\') as f:\n    lines = [\n        \'aaa\\n\'.encode(encoding=\'utf-8\'),\n        \'\u044f\u044f\u044f\\n\'.encode(encoding=\'utf-8\')\n    ]\n    f.writelines(lines)",python
Home/Python/Python Core/Comprehensions,h3,1,1,List comprehension,
Home/Python/Python Core/Comprehensions,code,1,2,"squares = [n ** 2 for n in range(1, 11)]\nprint(squares)",python
Home/Python/Python Core/Comprehensions,h3,2,1,Set comprehension,
Home/Python/Python Core/Comprehensions,code,2,2,"squares = {n ** 2 for n in range(1, 11)}\nprint(squares)\nprint(type(squares))",python
Home/Python/Python Core/Comprehensions,h3,3,1,Dictionary comprehension,
Home/Python/Python Core/Comprehensions,code,3,2,"from pprint import pprint as pp\n\ncountry_to_capital = {\n    \'United Kingdom\': \'London\',\n    \'Brazil\': \'Brazilia\',\n    \'Morocco\': \'Rabat\',\n    \'Sweden\': \'Stockholm\'\n}\n\ncapital_to_country = {\n    capital: country for country, capital in country_to_capital.items()\n}\n\npp(capital_to_country)",python
Home/Python/Python Core/Comprehensions,h3,4,1,Generator comprehension,
Home/Python/Python Core/Comprehensions,code,4,2,"million_squares = (x ** 2 for x in range(1, 1_000_001))\nprint(sum(million_squares))\n\n# the same idea as in previous two lines\nmillion_squares = sum(x ** 2 for x in range(1, 1_000_001))\nprint(million_squares)",python
Home/Python/Python Core/Comprehensions,h3,5,1,Filtering predicates,
